station_id,date_start,date_end,geo_lon,geo_lat,height,name
535,1947-01-01,2020-11-09,7.3079,50.0372,417,Blankenrath
550,1994-05-01,2002-09-30,11.7985,50.9041,344,Bobeck
553,1954-01-01,1974-12-31,6.6107,51.838,25,Bocholt (Marienschule)
554,1947-01-01,2006-02-28,6.5365,51.8293,23,Bocholt-Liedern (Wasserwerk)
555,1940-01-01,2018-11-01,7.2697,51.4789,101,Bochum
570,1979-01-01,1981-12-31,13.0765,49.0768,648,Bodenmais-Mais
576,1987-08-01,2003-12-31,8.9732,48.6759,445,Böblingen
578,1951-03-01,1966-12-31,11.3667,48.9451,379,Böhming
588,1992-05-01,1996-07-31,9.3953,51.752,105,Boffzen
591,1947-01-01,2020-11-09,10.6878,53.3911,45,Boizenburg
592,1946-01-01,1962-12-31,9.7344,53.8634,10,Bokel
594,1993-01-01,2000-03-01,9.6136,48.6407,425,"Boll, Bad (KKst)"
596,1947-01-01,2020-11-09,11.1908,54.0028,15,Boltenhagen
598,1949-01-01,1957-08-31,7.0839,50.7285,62,Bonn
599,1932-10-01,1999-03-01,7.1467,50.7055,62,Bonn-Friesdorf
601,1974-01-01,2003-10-31,7.0356,50.6983,158,Bonn-Hardthöhe
603,1986-08-01,2020-11-09,7.2040,50.7293,147,Königswinter-Heiderhof
604,1971-01-01,2005-10-31,8.3348,47.8194,875,Bonndorf/Schwarzwald
606,1950-01-01,1954-07-31,10.1977,48.0791,569,Boos
614,1951-01-01,2007-12-31,9.3120,51.5709,240,Borgentreich-Bühne
617,2004-06-01,2020-11-09,6.8863,51.873,47,Borken in Westfalen
619,1947-01-01,2020-11-09,6.6703,53.5788,12,Borkum-Süderstraße
634,1980-03-01,1991-03-31,9.6458,49.4442,373,Boxberg-Seehof
635,1980-05-01,1990-09-30,9.6333,49.45,378,Boxberg-Seehof (West)
636,1981-11-01,1991-03-31,9.6500,49.45,373,Boxberg-Seehof (Wind-3m)
642,1966-01-01,2020-10-29,8.4969,53.3517,1,Brake
643,1993-11-01,1994-12-31,8.4529,53.296,0,Brake-Süderfeld
645,1947-01-01,1952-01-31,7.9682,52.4083,75,Bramsche
648,1963-05-01,2006-12-31,9.7152,53.8551,9,Brande-Hörnerkirchen
650,1948-07-01,2001-04-30,12.5503,52.4136,35,Brandenburg-Görden
652,1949-01-01,1958-07-31,10.7706,49.5353,384,Hagenbüchach
656,1931-01-01,2020-11-09,10.6021,51.7234,607,Braunlage
657,1955-01-01,2003-12-31,10.6690,51.6634,625,Braunlage-Hohegeiß
660,1948-01-01,1960-12-31,10.5656,52.2744,83,Braunschweig-Gliesmarode
661,1891-01-01,1953-12-31,10.5334,52.2708,75,Braunschweig (T.H.)
662,1961-01-01,2020-11-09,10.4464,52.2915,81,Braunschweig
675,1980-07-01,1988-02-29,7.6000,48.0333,218,Breisach-Eckartsberg
685,1998-01-12,2006-11-01,9.4281,49.9017,585,Breitsol
691,1890-01-01,2020-11-09,8.7979,53.045,4,Bremen
699,1949-01-01,1958-06-30,8.7834,53.1004,4,Bremen-Seefahrtschule
701,1949-01-01,2020-11-09,8.5761,53.5332,7,Bremerhaven
702,1948-01-01,1960-06-30,8.6015,53.5876,8,Bremerhaven-Speckenbüttel
703,1937-01-01,1985-05-31,9.1553,53.4779,5,Bremervörde (A)
704,1979-04-01,2020-11-09,9.1390,53.4451,11,Bremervörde
705,1985-06-01,2006-12-31,9.1664,53.5312,5,Bremervörde-Niederochtenhausen
706,1969-09-01,2004-12-31,7.6611,47.8858,234,Eschbach
710,1983-11-01,2003-12-31,8.6991,49.025,181,Bretten
717,1937-01-01,2004-06-30,8.5737,51.3873,443,Brilon
722,1896-01-01,2020-11-09,10.6183,51.7986,1134,Brocken
727,1958-01-01,1986-12-31,8.9557,49.7345,290,Brombachtal-Kirch-Brombach
728,1981-02-01,1986-12-31,13.2176,48.8171,1016,Brotjacklriegel (UBA)
729,1945-01-01,1990-01-31,10.4540,50.8282,600,Brotterode
736,1947-01-01,1999-12-31,7.1148,49.6303,390,Brücken
743,1975-01-01,2001-09-28,6.1333,51.2,73,Brüggen (Flugplatz)
748,1966-01-01,2008-09-30,9.1411,53.8887,5,Brunsbüttel (Schleuse)
755,1935-01-01,2020-11-09,9.3213,49.5182,340,"Buchen, Kr. Neckar-Odenwald"
757,1990-10-01,2020-11-09,7.9983,47.9625,445,Buchenbach
760,1976-06-01,2020-11-09,9.9435,53.3629,82,Rosengarten-Klecken
766,1965-01-01,2020-11-09,7.0595,50.1746,477,Büchel (Flugplatz)
769,1972-01-01,2020-11-09,9.0889,52.2817,68,Bückeburg
771,1947-01-01,1955-12-31,9.1167,50.2769,148,Büdingen
